Chapter,Topic,Question,Equation,Answer
Hydrocarbons,Alkene Concepts,Why carbocation forms?,C⁺ intermediate,Forms during electrophilic addition
States of Matter,Gas Properties,What is critical pressure?,Pc,Required for liquefaction
Carboxylic Acids,Carboxylic Acid Formation,Explain why benzylic oxidation occurs irrespective of chain length.,C6H5–R + [O] → C6H5COOH,Resonance stabilization of benzylic intermediate allows complete oxidation to carboxylic acid.
Amines,Amine Formation,How are amines prepared from imines?,R–CH=NH + [H] → R–CH2NH2,Imines undergo reduction forming amines. This is part of reductive amination process.
Aldehydes and Ketones,Ketone Formation,How are ketones formed by hydration of alkynes?,R–C≡C–R' + H2O → R–CO–R',Hydration of internal alkynes produces ketones via enol intermediate.
Haloalkanes and Haloarenes,Haloarene Formation,Explain diazonium salt formation and decomposition energetics.,ArNH2 → ArN2+ → ArX,"Formation of diazonium salt requires low temperature for stability, while decomposition releases N2 gas (very stable), driving reaction forward energetically."
Hydrocarbons,Alkane Formation,Explain reduction of Grignard reagent to alkane.,RMgX + H2O → R–H,Grignard reagent behaves as strong base and abstracts proton from water producing alkane.
Equilibrium,Chemical Equilibrium,Relation between activity and concentration.,a = γC,Activity coefficient corrects deviation from ideal behavior.
Redox Reactions,Balancing Reactions,Balance: C2H6 + O2 → CO2 + H2O,2C2H6 + 7O2 → 4CO2 + 6H2O,Balanced combustion equation obtained.
Polymers,Polymer Types,Explain glass transition temperature.,Tg,Tg is temperature at which polymer changes from hard glassy state to soft rubbery state.
Thermodynamics,Enthalpy,Why is bond breaking endothermic?,energy required,Bond dissociation absorbs energy.
Physical Chemistry,Formula Calculation,Calculate percentage composition of calcium in CaCO3.,40/100 ×100,Percentage of calcium is 40%.
Physical Chemistry,Stoichiometry,Calculate moles of O2 required to burn 2 moles CH4.,CH4 + 2O2 → CO2 + 2H2O,2 moles methane require 4 moles oxygen.
Equilibrium,Solubility,Compare solubility of amphoteric hydroxides in acid/base.,M(OH)n + H⁺/OH−,Such hydroxides dissolve in both acidic and basic media due to formation of soluble species.
Polymers,Polymer Formation,"How is Nylon-6,6 formed?",n H₂N–(CH₂)₆–NH₂ + n HOOC–(CH₂)₄–COOH → polymer + nH₂O,Diamine + diacid polymerize
Polymers,Polymer Classification,Why is bakelite classified as thermosetting polymer?,cross-linked structure,Strong cross-linked network prevents remolding.
Biomolecules,Vitamins,Explain why vitamin B deficiencies affect metabolism.,B vitamins ↓ → enzyme activity ↓,Lack of coenzymes disrupts metabolic pathways causing energy deficiency.
Physical Chemistry,Formula Calculation,Define hydrate formula.,salt·xH2O,Hydrates contain fixed number of water molecules attached to salt.
Chemistry in Everyday Life,Soaps and Detergents,What is foaming action of soap?,soap + water → foam,Foam formation helps trap dirt and improve cleaning efficiency.
Haloalkanes and Haloarenes,Haloarene Formation,Explain meta directing substituents.,C6H5–NO2 + X2 → meta product,"Strong electron-withdrawing groups destabilize ortho/para σ-complex, favoring meta substitution."
Alcohols Phenols Ethers,Alcohol Tests,How can iodoform test distinguish ethanol from methanol?,CH3CH2OH + I2 + NaOH → CHI3 + HCOONa + NaI + H2O,"Ethanol gives yellow precipitate of iodoform due to CH3–CHOH group, while methanol does not because it lacks this structure."
Hydrocarbons,Alkyne Reactions,Why are alkynes unsaturated hydrocarbons?,C≡C contains π-bonds,"Alkynes contain a carbon-carbon triple bond having two π-bonds, making them unsaturated and reactive."
Hydrocarbons,Alkane Reactions,What is the general nature of alkanes toward chemical reactions?,Alkanes → substitution reactions,Alkanes are relatively less reactive and mainly undergo substitution and oxidation reactions.
States of Matter,Real Gases,What is value of Z for ideal gases?,Z = 1,Ideal gases perfectly satisfy ideal gas equation.
Aldehydes and Ketones,Ketone Formation,Predict product when benzene undergoes Friedel–Crafts acylation twice.,C6H5COR + RCOCl → no further reaction,"First acylation deactivates ring, preventing further substitution. Thus mono-substituted ketone forms."
Hydrocarbons,Alkane Formation,Predict product in alkene hydrogenation.,CH2=CH2 + H2 → CH3–CH3,Hydrogen adds across double bond forming alkane.
Amines,Amine Properties,"Compare basicity of ortho, meta, para nitroaniline.",C6H4NO2NH2,Order is o-nitroaniline < p-nitroaniline < m-nitroaniline. Ortho effect and hydrogen bonding reduce basicity most at ortho position.
Carboxylic Acids,Carboxylic Acid Reactions,Explain nucleophilic acyl substitution mechanism.,RCOX + Nu− → RCONu + X−,Nucleophile attacks carbonyl forming tetrahedral intermediate followed by elimination of leaving group.
Hydrocarbons,Alkane Concepts,Why do alkanes possess tetrahedral geometry?,sp3 hybridization → 109.5°,"Four sp3 orbitals arrange themselves in space to minimize repulsion, producing tetrahedral geometry."
Hydrocarbons,Alkane Reactions,Explain the first propagation step in methane chlorination.,CH4 + Cl• → CH3• + HCl,A chlorine radical abstracts a hydrogen atom from methane producing methyl radical and HCl.
Aldehydes and Ketones,Ketone Tests,"A compound gives positive 2,4-DNP but no oxidation with KMnO4. Identify compound.","R–CO–R' + 2,4-DNP → hydrazone","Ketones resist oxidation, so this confirms ketone structure."
Physical Chemistry,Gas Stoichiometry,Calculate volume of O2 needed for combustion of 5.6 L acetylene.,2C2H2 + 5O2 → 4CO2 + 2H2O,5.6 L acetylene require 14 L oxygen.
Structure of Atom,Quantum Theory,What is Schrödinger equation?,wave equation for particles,It describes behavior of electrons mathematically.
Thermodynamics,Gibbs Energy,Why is ATP hydrolysis important biologically?,large negative ΔG,It supplies usable energy for cells.
Equilibrium,Hydrolysis,What happens in strong acid + weak base salt?,BH⁺ + H₂O ⇌ B + H₃O⁺,Cation hydrolyses producing H⁺
Thermodynamics,Second Law,Why is PMM-2 impossible?,entropy decrease impossible,It violates entropy increase principle.
Physical Chemistry,Mole Concept,Calculate moles of oxygen atoms in 1 mole Al2(SO4)3.,12 oxygen atoms per formula unit,1 mole compound contains 12 moles oxygen atoms.
Hydrocarbons,Alkane Concepts,Why are sigma bonds stronger than pi bonds?,head-on overlap > sidewise overlap,Sigma bonds involve greater orbital overlap and are therefore stronger than pi bonds.
Polymers,Polymer Concepts,Why are biodegradable polymers environmentally important?,reduce plastic pollution,They minimize accumulation of nondegradable waste.
Equilibrium,Buffer Solutions,Compare buffer capacity of two buffers with same ratio but different concentrations.,β ∝ concentration,Buffer with higher concentration has greater capacity because it can neutralize more acid/base without significant pH change.
Aldehydes and Ketones,Aldehyde Reactions,Predict product when benzaldehyde reacts with Fehling’s solution.,C6H5CHO → no reaction,Benzaldehyde does not give Fehling’s test because aromatic aldehydes cannot form the required enediol intermediate necessary for reduction of Cu²⁺ ions.
Polymers,Polymer Types,What is cellulose?,n C₆H₁₂O₆ → cellulose + nH₂O,"β-1,4 glycosidic linkage"
Alcohols Phenols Ethers,Ether Properties,"Arrange methanol, dimethyl ether, methane in increasing solubility in water.",R–O–R + H2O ⇌ H-bond acceptor ; R–OH + H2O ⇌ strong H-bonding,"Methane is non-polar and cannot interact with water, so it is least soluble. Dimethyl ether can accept hydrogen bonds from water, so it shows moderate solubility. Methanol can both donate and accept hydrogen bonds, forming strong interactions with water, making it most soluble. Thus, methane < dimethyl ether < methanol."
Aldehydes and Ketones,Aldehyde Reactions,Explain why bisulfite addition compounds are useful.,RCHO + NaHSO3 → RCH(OH)SO3Na,The reaction forms crystalline compounds which are easily separable. This helps in purification and identification of aldehydes.
Hydrocarbons,Alkene Reactions,Explain polymerization of ethene.,nCH2=CH2 → polyethylene,Large number of ethene molecules join together by opening double bonds forming polymers.
Structure of Atom,Spectral Series,What is Pfund series?,transitions ending at n=5,Pfund series involves transitions to fifth orbit.
Polymers,Polymerization Mechanism,Why are living polymers important?,controlled molecular weight,They allow precise control over polymer size and architecture.
Haloalkanes and Haloarenes,Haloarene Concepts,Predict mechanism using reaction conditions.,mild vs harsh conditions,Mild conditions with electron-withdrawing groups favor SNAr while strong base/high temperature favor benzyne pathway.
Chemistry in Everyday Life,Cleansing Agents,Explain why soaps fail in hard water.,2RCOO− + Ca2+ → (RCOO)2Ca,Formation of insoluble salts (scum) reduces availability of soap molecules.
Structure of Atom,Quantum Mechanics,Allowed values of l?,0 to n−1,Azimuthal quantum number depends on n.
Thermodynamics,Processes,Internal energy change in ideal gas isothermal process?,ΔU = 0,Internal energy depends only on temperature.
Aldehydes and Ketones,Aldehyde Reactions,Explain mechanism of formation of hydrazone.,RCHO + NH2NH2 → RCH=NNH2 + H2O,"Similar to oxime formation, hydrazine attacks carbonyl carbon forming intermediate which loses water to form hydrazone. This is a condensation reaction."
Hydrocarbons,Alkene Concepts,Why is rotation restricted around carbon-carbon double bond?,rotation breaks π-bond,Rotation would destroy the parallel overlap of p orbitals required for π-bond formation.
Equilibrium,Basic Concepts,What is dynamic equilibrium?,A ⇌ B (rate forward = rate backward),"Even though concentrations remain constant, reactions continue in both directions."
Chemistry in Everyday Life,Cleansing Agents,Explain Krafft temperature concept.,surfactant → micelle above T_k,Krafft temperature is the minimum temperature required for surfactant solubility and micelle formation.
Physical Chemistry,Composition,Explain importance of composition in analytical chemistry.,quantitative determination,Composition analysis identifies and quantifies constituents of substances.
Alcohols Phenols Ethers,Ether Reactions,Explain why HI is preferred over HBr and HCl for ether cleavage.,R–O–R + HI → RI + R'OH,"HI is the strongest acid among hydrogen halides and iodide ion is the best nucleophile due to large size and high polarizability, making cleavage faster and more efficient compared to HBr and HCl."
Physical Chemistry,Formula Calculation,Calculate formula mass of NaOH.,23 + 16 + 1,Formula mass of sodium hydroxide is 40 u.
Biomolecules,Proteins,Predict product in ninhydrin test.,amino acid + ninhydrin → purple complex,Ninhydrin reacts with amino acids forming colored complex used for detection.
Alcohols Phenols Ethers,Alcohol Formation,Describe the complete mechanism of Grignard reagent reaction with aldehyde.,CH3MgBr + HCHO → CH3CH2OMgBr → H3O+ → CH3CH2OH,"Grignard reagent attacks the carbonyl carbon forming an alkoxide intermediate, which on hydrolysis produces alcohol."
Aldehydes and Ketones,Aldehyde Reactions,What happens when aldehydes are reduced?,RCHO + [H] → RCH2OH,Aldehydes are reduced to primary alcohols by gaining hydrogen. The carbonyl group is converted into an alcohol group when hydrogen adds across the double bond.
Chemistry in Everyday Life,Cleansing Agents,Explain emulsification thermodynamics.,oil + water → stabilized emulsion,Surfactants reduce interfacial tension making emulsification energetically favorable.
